producto,id_booking,estado,fecha_inicio,fecha_fin,fecha_creacion,cliente
Salas,29284,CONFIRMACIÓN,2025-11-04,2025-11-04,2025-10-29,cliente_077
Salas,29293,CONFIRMACIÓN,2025-11-06,2025-11-06,2025-10-29,cliente_095
Salas,29305,Perdido,2025-11-27,2025-11-27,2025-10-29,"GENERICO, EMPRESAS"
Salas,29327,CONFIRMACIÓN,2025-12-12,2025-12-12,2025-10-29,cliente_096
Salas,29358,Perdido,2025-12-15,2025-12-15,2025-10-30,"GENERICO, AGENCIAS"
Habs y Salas,29359,Perdido,2025-11-05,2025-11-07,2025-10-30,"GENERICO, AGENCIAS"
Salas,29360,Perdido,2025-12-05,2025-12-05,2025-10-30,"GENERICO, AGENCIAS"
Salas,29391,Perdido,2025-12-13,2025-12-13,2025-10-31,"GENERICO, EMPRESAS"
Salas,29464,Perdido,2025-11-23,2025-11-23,2025-11-03,GENERICO GENERICO
Salas,29473,Perdido,2025-11-09,2025-11-09,2025-11-03,GENERICO GENERICO
Habs y Salas,29479,Rechazado,2025-11-25,2025-11-28,2025-11-03,"GENERICO, AGENCIAS"
Salas,29509,CONFIRMACIÓN,2025-11-12,2025-11-12,2025-11-04,cliente_018
Salas,29510,CONFIRMACIÓN,2025-11-13,2025-11-13,2025-11-04,"GENERICO, EMPRESAS"
Salas,29513,CONFIRMACIÓN,2025-11-11,2025-11-11,2025-11-04,cliente_071
Salas,29522,CONFIRMACIÓN,2025-11-13,2025-11-13,2025-11-04,cliente_073
Salas,29523,Perdido,2025-12-14,2025-12-14,2025-11-04,GENERICO GENERICO
Salas,29532,Perdido,2025-11-15,2025-11-15,2025-11-04,GENERICO GENERICO
Salas,29538,Perdido,2025-12-01,2025-12-01,2025-11-04,"GENERICO, EMPRESAS"
Salas,29548,Perdido,2025-12-11,2025-12-11,2025-11-05,"GENERICO, AGENCIAS"
Salas,29549,Perdido,2025-12-24,2025-12-24,2025-11-05,GENERICO GENERICO
Salas,29559,CONFIRMACIÓN,2025-12-25,2025-12-25,2025-11-05,cliente_097
Salas,29579,CONFIRMACIÓN,2025-12-17,2025-12-17,2025-11-06,cliente_098
Salas,29580,Perdido,2025-12-15,2025-12-15,2025-11-06,"GENERICO, EMPRESAS"
Salas,29591,CONFIRMACIÓN,2025-11-18,2025-11-19,2025-11-05,cliente_057
Habs y Salas,29611,CONFIRMACIÓN,2025-12-24,2025-12-25,2025-11-06,cliente_099
Salas,29612,CONFIRMACIÓN,2025-11-13,2025-11-13,2025-11-06,cliente_100
Salas,29671,CONFIRMACIÓN,2025-12-06,2025-12-06,2025-11-07,cliente_101
Salas,29677,Perdido,2025-12-08,2025-12-08,2025-11-07,GENERICO GENERICO
Salas,29697,Perdido,2025-12-11,2025-12-11,2025-11-07,"GENERICO, EMPRESAS"
Salas,29708,Perdido,2025-11-12,2025-11-12,2025-11-10,"GENERICO, EMPRESAS"
Salas,29715,Perdido,2025-11-29,2025-11-29,2025-11-11,GENERICO GENERICO
Salas,29735,Perdido,2025-12-06,2025-12-06,2025-11-10,GENERICO GENERICO
Salas,29737,Perdido,2025-12-19,2025-12-19,2025-11-10,GENERICO GENERICO
Salas,29750,Perdido,2025-12-19,2025-12-19,2025-11-11,GENERICO GENERICO
Salas,29756,Perdido,2025-12-15,2025-12-15,2025-11-11,"GENERICO, EMPRESAS"
Salas,29765,Perdido,2025-12-11,2025-12-11,2025-11-11,"GENERICO, EMPRESAS"
Salas,29774,CONFIRMACIÓN,2025-11-19,2025-11-19,2025-11-11,cliente_102
Salas,29778,CONFIRMACIÓN,2025-11-20,2025-11-20,2025-11-11,cliente_095
Salas,29802,Perdido,2025-12-19,2025-12-19,2025-11-11,"GENERICO, EMPRESAS"
Salas,29803,CONFIRMACIÓN,2025-11-18,2025-11-18,2025-11-11,cliente_087
Salas,29804,CONFIRMACIÓN,2025-11-19,2025-11-19,2025-11-11,cliente_103
Salas,29824,Perdido,2025-11-13,2025-11-13,2025-11-12,"GENERICO, EMPRESAS"
Salas,29872,Perdido,2025-12-16,2025-12-16,2025-11-12,"GENERICO, AGENCIAS"
Salas,29892,Perdido,2025-12-24,2025-12-24,2025-11-13,GENERICO GENERICO
Salas,29896,Perdido,2025-11-27,2025-11-27,2025-11-13,"GENERICO, EMPRESAS"
Salas,29899,CONFIRMACIÓN,2025-12-11,2025-12-12,2025-11-13,cliente_104
Salas,29926,Perdido,2025-12-20,2025-12-20,2025-11-14,GENERICO GENERICO
Habs y Salas,29946,Perdido,2025-11-15,2025-11-18,2025-11-14,"GENERICO, AGENCIAS"
Salas,29950,Perdido,2025-12-03,2025-12-03,2025-11-14,"GENERICO, EMPRESAS"
Salas,29978,CONFIRMACIÓN,2025-11-25,2025-11-25,2025-11-17,cliente_077
Salas,29979,CONFIRMACIÓN,2025-11-26,2025-11-26,2025-11-17,cliente_018
Salas,29980,CONFIRMACIÓN,2025-11-27,2025-11-27,2025-11-17,cliente_095
Salas,30010,CONFIRMACIÓN,2025-11-25,2025-11-27,2025-11-17,cliente_105
Salas,30070,CONFIRMACIÓN,2025-12-24,2025-12-24,2025-11-18,cliente_106
Salas,30080,CONFIRMACIÓN,2025-11-26,2025-11-28,2025-11-19,cliente_030
Salas,30082,Perdido,2025-12-01,2025-12-01,2025-11-18,GENERICO GENERICO
Salas,30092,Perdido,2025-12-11,2025-12-11,2025-11-18,"GENERICO, EMPRESAS"
Salas,30106,Perdido,2025-12-19,2025-12-19,2025-11-19,"GENERICO, EMPRESAS"
Salas,30116,CONFIRMACIÓN,2025-12-15,2025-12-17,2025-11-19,cliente_107
Salas,30145,CONFIRMACIÓN,2025-11-29,2025-12-01,2025-11-20,cliente_108
Salas,30147,CONFIRMACIÓN,2025-12-25,2025-12-25,2025-11-20,cliente_109
Habs y Salas,30148,Perdido,2025-12-09,2025-12-11,2025-11-20,"GENERICO, EMPRESAS"
Salas,30149,CONFIRMACIÓN,2025-12-25,2025-12-25,2025-11-20,cliente_110
Habs y Salas,30154,Perdido,2025-12-13,2025-12-16,2025-11-20,"GENERICO, EMPRESAS"
Salas,30161,Perdido,2025-12-27,2025-12-27,2025-11-20,GENERICO GENERICO
Salas,30292,CONFIRMACIÓN,2025-12-04,2025-12-05,2025-11-25,cliente_111
Salas,30296,Perdido,2025-12-11,2025-12-11,2025-11-26,"GENERICO, EMPRESAS"
Salas,30332,CONFIRMACIÓN,2025-12-02,2025-12-02,2025-11-26,cliente_071
Salas,30334,CONFIRMACIÓN,2025-12-03,2025-12-03,2025-11-26,cliente_112
Salas,30336,CONFIRMACIÓN,2025-12-04,2025-12-04,2025-11-26,cliente_113
Salas,30337,CONFIRMACIÓN,2025-12-04,2025-12-04,2025-11-26,cliente_095
Salas,30365,Perdido,2025-12-10,2025-12-10,2025-11-27,"GENERICO, EMPRESAS"
Salas,30367,Perdido,2025-12-10,2025-12-10,2025-11-27,GENERICO GENERICO
Salas,30449,CONFIRMACIÓN,2025-12-09,2025-12-13,2025-12-01,cliente_114
Salas,30465,CONFIRMACIÓN,2025-12-11,2025-12-11,2025-12-01,"GENERICO, EMPRESAS"
Salas,30466,CONFIRMACIÓN,2025-12-11,2025-12-11,2025-12-01,cliente_095
Salas,30476,CONFIRMACIÓN,2025-12-10,2025-12-10,2025-12-01,cliente_103
Salas,30486,CONFIRMACIÓN,2025-12-09,2025-12-09,2025-12-01,cliente_115
Salas,30531,CONFIRMACIÓN,2025-12-12,2025-12-12,2025-12-02,cliente_116
Salas,30546,Perdido,2025-12-16,2025-12-16,2025-12-02,GENERICO GENERICO
Salas,30565,Perdido,2025-12-16,2025-12-16,2025-12-03,GENERICO GENERICO
Salas,30567,Perdido,2025-12-15,2025-12-15,2025-12-04,"GENERICO, EMPRESAS"
Salas,30578,CONFIRMACIÓN,2025-12-08,2025-12-08,2025-12-03,cliente_101
Salas,30675,Perdido,2025-12-20,2025-12-20,2025-12-05,GENERICO GENERICO
Salas,30681,CONFIRMACIÓN,2025-12-25,2025-12-25,2025-12-05,cliente_117
Salas,30691,CONFIRMACIÓN,2025-12-13,2025-12-13,2025-12-08,cliente_118
Salas,30692,CONFIRMACIÓN,2025-12-16,2025-12-16,2025-12-08,cliente_119
Salas,30693,CONFIRMACIÓN,2025-12-18,2025-12-18,2025-12-08,cliente_095
Salas,30694,CONFIRMACIÓN,2025-12-18,2025-12-18,2025-12-08,cliente_018
Salas,30700,Perdido,2025-12-17,2025-12-17,2025-12-09,"GENERICO, AGENCIAS"
Salas,30766,Perdido,2025-12-16,2025-12-16,2025-12-11,GENERICO GENERICO
Salas,30780,CONFIRMACIÓN,2025-12-13,2025-12-13,2025-12-10,GENERICO GENERICO
Salas,30910,CONFIRMACIÓN,2025-12-24,2025-12-24,2025-12-16,cliente_120
Salas,31180,CONFIRMACIÓN,2025-12-26,2025-12-26,2025-12-26,cliente_121
